"pl":"brat","en":"brother"
"pl":"kuzyn / kuzynka","en":"cousin"
"pl":"tata","en":"dad"
"pl":"córka","en":"daughter"
"pl":"ojciec","en":"father"
"pl":"dziadek","en":"grandfather / grandad"
"pl":"babcia","en":"grandmother / granny"
"pl":"matka","en":"mother"
"pl":"mama","en":"mum"
"pl":"rodzice","en":"parents"
"pl":"siostra","en":"sister"
"pl":"syn","en":"son"
"pl":"wujek","en":"uncle"
"pl":"wycieczka szkolna","en":"school trip"
"pl":"Ona ma 70 lat","en":"She is 70 years old"
"pl":"smaczny","en":"yummy"
"pl":"Bądź ostrożny!","en":"Be careful!"
"pl":"Potrzymaj to, proszę","en":"Hold this, please"
"pl":"Zajmę się tym!","en":"I've got it!"
"pl":"najlepszy przyjaciel / przyjaciółka","en":"best friend"
"pl":"urodziny","en":"birthday"
"pl":"tort urodzinowy","en":"birthday cake"
"pl":"ciasto","en":"cake"
"pl":"kartka","en":"card"
"pl":"klasa","en":"class"
"pl":"kolega / koleżanka z klasy","en":"classmate"
"pl":"jeść","en":"eat"
"pl":"przyjaciel","en":"friend"
"pl":"z / od","en":"from"
"pl":"szczęśliwy","en":"happy"
"pl":"Wszystkiego najlepszego!","en":"Happy birthday!"
"pl":"Zróbmy przerwę","en":"Let's have a break"
"pl":"uroczy","en":"lovely"
"pl":"bałagan","en":"mess"
"pl":"mój drogi / moja droga","en":"my darling"
"pl":"prezent","en":"present"
"pl":"amerykański","en":"American"
"pl":"brytyjski","en":"British"
"pl":"Chiny","en":"China"
"pl":"chiński","en":"Chinese"
"pl":"Francja","en":"France"
"pl":"francuski","en":"French"
"pl":"włoski","en":"Italian"
"pl":"Włochy","en":"Italy"
"pl":"Polska","en":"Poland"
"pl":"polski","en":"Polish"
"pl":"Hiszpania","en":"Spain"
"pl":"hiszpański","en":"Spanish"
"pl":"Wielka Brytania","en":"the UK"
"pl":"Stany Zjednoczone","en":"the USA"
"pl":"Na razie!","en":"Bye now!"
"pl":"album rodzinny","en":"family album"
"pl":"Pomocy!","en":"Help!"
"pl":"głodny","en":"hungry"
"pl":"na zdjęciu","en":"in the photo"
"pl":"imię","en":"name"
"pl":"Nie mam pojęcia","en":"No idea"
"pl":"przepraszam","en":"Sorry"
"pl":"superbohater","en":"superhero"
"pl":"A co z tobą?","en":"What about you?"
