"pl":"kasjer/kasjerka","en":"cashier"
"pl":"inżynier/inżynierka","en":"engineer"
"pl":"rolnik / rolniczka","en":"farmer"
"pl":"pielęgniarz / pielęgniarka","en":"nurse"
"pl":"prawnik / prawniczka","en":"lawyer"
"pl":"naukowiec","en":"scientist"
"pl":"hydraulik / hydrauliczka","en":"plumber"
"pl":"kierownik / kierowniczka centrum sportowego","en":"sports centre manager"
"pl":"budować mosty","en":"build bridges"
"pl":"przeprowadzać eksperymenty","en":"do experiments"
"pl":"naprawiać rury","en":"fix leaks"
"pl":"wydawać polecenia","en":"give instructions"
"pl":"wydawać klientom resztę","en":"give change to customers"
"pl":"uprawiać rośliny i doić krowy","en":"grow crops and milk cows"
"pl":"pomagać w kwestiach prawnych","en":"help people with the law"
"pl":"opiekować się pacjentami","en":"look after patients"
"pl":"lotnisko","en":"airport"
"pl":"bank","en":"bank"
"pl":"fabryka","en":"factory"
"pl":"farma","en":"farm"
"pl":"remiza (strażacka)","en":"fire station"
"pl":"szpital","en":"hospital"
"pl":"biuro","en":"office"
"pl":"komisariat / posterunek","en":"police station"
"pl":"budynek poczty","en":"post office"
"pl":"zakład segregacji odpadów","en":"recycling centre"
"pl":"ratusz / urząd miejski","en":"town hall"
"pl":"magazyn","en":"warehouse"
"pl":"Śpieszymy się","en":"We're in a rush"
"pl":"Do zobaczenia wkrótce!","en":"See you soon!"
"pl":"Przepraszam za spóźnienie","en":"Sorry I'm late"
"pl":"Uwielbiam...","en":"I love..."
"pl":"Lubię...","en":"I like..."
"pl":"Nie przeszkadza mi...","en":"I don't mind..."
"pl":"Nie lubię...","en":"I don't like..."
"pl":"Nienawidzę...","en":"I hate..."
"pl":"Tak, naprawdę lubię","en":"Yes, I really do"
"pl":"Tak, lubię","en":"Yes, I do"
"pl":"Nie mam nic przeciwko","en":"I don't mind it"
"pl":"Nie, nie za bardzo","en":"No, not really"
"pl":"Nie, nienawidzę tego","en":"No, I hate it"
"pl":"Naukowcy przeprowadzają eksperymenty.","en":"Scientists do experiments."
"pl":"Hydraulicy naprawiają cieknące rury","en":"Plumbers fix leaks"
"pl":"Kasjerzy wydają klientom resztę","en":"Cashiers give change to customers."
"pl":"Pielęgniarki opiekują się pacjentami.","en":"Nurses look after patients."
"pl":"Rolnicy uprawiają rośliny i doją krowy.","en":"Farmers grow crops and milk cows."
"pl":"Inżynierowie budują mosty","en":"Engineers build bridges"
"pl":"Kierownicy centrum sportowego wydają polecenia innym pracownikom.","en":"Sports centre managers give instructions to the other workers."
"pl":"Prawnicy pomagają ludziom w kwestiach prawnych.","en":"Lawyers help people with the law."
"pl":"Naukowcy muszą przeprowadzać eksperymenty","en":"Scientists have to do experiments"
"pl":"Hydraulicy muszą naprawiać cieknące rury","en":"Plumbers have to fix leaks"
"pl":"Kasjerzy muszą wydawać klientom resztę","en":"Cashiers have to give change to customers"
"pl":"Pielęgniarki muszą opiekować się pacjentami","en":"Nurses have to look after patients"
"pl":"Rolnicy muszą uprawiać rośliny i doić krowy","en":"Farmers have to grow crops and milk cows"
"pl":"Inżynierowie muszą budować mosty","en":"Engineers have to build bridges"
"pl":"Kierownicy centrum sportowego muszą wydawać polecenia innym pracownikom.","en":"Sports centre managers have to give instructions to the other workers"
"pl":"Prawnicy muszą pomagać ludziom w kwestiach prawnych.","en":"Lawyers have to help people with the law"
"pl":"Naukowcy nie muszą budować mostów","en":"Scientists don't have to build bridges"
"pl":"Hydraulicy nie muszą przeprowadzać eksperymentów","en":"Plumbers don't have to do experiments"
"pl":"Kasjerzy nie muszą naprawiać wycieków","en":"Cashiers don't have to fix leaks"
"pl":"Pielęgniarki nie muszą wydawać klientom reszty","en":"Nurses don't have to give change to customers"
"pl":"Rolnicy nie muszą wydawać poleceń innym pracownikom","en":"Farmers don't have to give instructions to the other workers"
"pl":"Inżynierowie nie muszą uprawiać roślin i doić krów.","en":"Engineers don't have to grow crops and milk cows"
"pl":"Kierownicy centrum sportowego nie muszą pomagać ludziom w kwestiach prawnych","en":"Sports centre managers don't have to help people with the law"
"pl":"Prawnicy nie muszą opiekować się pacjentami","en":"Lawyers don't have to look after patients"
"pl":"Moja mama pracuje dla miasta w ratuszu.","en":"My mum works for the city in the town hall."
"pl":"Uwielbiam grać w piłkę nożną.","en":"I love playing football."
"pl":"Lubię pływać.","en":"I like swimming."
"pl":"Nie przeszkadza mi oglądanie horrorów.","en":"I don't mind watching horror films."
"pl":"Nie lubię pić herbaty cytrynowej.","en":"I don't like drinking lemon tea."
"pl":"Nienawidzę naprawiać cieknących rur.","en":"I hate fixing leaks."
"pl":"Kiedy musisz wstać?","en":"When do you have to get up?"
"pl":"Co musisz zrobić w sobotę?","en":"What do you have to do on Saturday?"
"pl":"Gdzie ona musi iść?","en":"Where does she have to go?"
"pl":"fotel","en":"armchair"
"pl":"rolety, żaluzje","en":"blinds"
"pl":"biblioteczka","en":"bookcase"
"pl":"szafka","en":"cupboard"
"pl":"zasłony","en":"curtains"
"pl":"poduszka ozdobna","en":"cushion"
"pl":"poduszka do spania","en":"pillow"
"pl":"lustro","en":"mirror"
"pl":"dywanik","en":"rug"
"pl":"półka","en":"shelf"
"pl":"półki","en":"shelves"
"pl":"kanapa","en":"sofa"
"pl":"ręcznik","en":"towel"
"pl":"szafa","en":"wardrobe"
"pl":"umywalka","en":"basin"
"pl":"wanna","en":"bath"
"pl":"zmywarka","en":"dishwasher"
"pl":"kuchenka","en":"cooker"
"pl":"zamrażarka","en":"freezer"
"pl":"lodówka","en":"fridge"
"pl":"grzejnik","en":"heater"
"pl":"kaloryfer","en":"radiator"
"pl":"prysznic","en":"shower"
"pl":"zlew","en":"sink"
"pl":"kran","en":"tap"
"pl":"pralka","en":"washing machine"
"pl":"nie mam pojęcia","en":"No idea!"
"pl":"Biedactwo!","en":"Poor little thing!"
"pl":"coś podejrzanego się tu dzieje.","en":"There's something fishy going on."
"pl":"Co oni kombinują?","en":"What are they up to?"
"pl":"Czy potrzebujesz pomocy?","en":"Do you need any help?"
"pl":"Pomóc ci?","en":"Do you want a hand?"
"pl":"Pewnie, nie ma sprawy.","en":"Sure, no problem."
"pl":"Dziękuję, bardzo mi pomożesz.","en":"Thanks, that's a great help."
"pl":"Dziękuję, to bardzo miło z twojej strony.","en":"Thanks, that's very good of you."
"pl":"zasunąć zasłonki","en":"close the curtains"
"pl":"włożyć naczynia do zmywarki","en":"load the dishwasher"
"pl":"rozsunąć zasłonki","en":"open the curtains"
"pl":"włożyć pranie do pralki","en":"put the washing in the washing machine"
"pl":"wyjąć pranie z pralki","en":"take the washing out of the washing machine"
"pl":"zmniejszyć temperaturę na kaloryferze","en":"turn the radiator down"
"pl":"wyłączyć kaloryfer","en":"turn the radiator off"
"pl":"włączyć kaloryfer","en":"turn the radiator on"
"pl":"zwiększyć temperaturę na kaloryferze","en":"turn the radiator up"
"pl":"wypakować naczynia ze zmywarki","en":"unload the dishwasher"
"pl":"teraz","en":"now"
"pl":"już teraz","en":"right now"
"pl":"w tym momencie","en":"at the moment"
"pl":"Mark czyta teraz książkę.","en":"Mark is reading a book now."
"pl":"Adam w tej chwili nie gra w piłkę nożną.","en":"Adam isn't playing football at the moment."
"pl":"Czy Marta pływa teraz?","en":"Is Marta swimming now?"
"pl":"dzisiaj","en":"today"
"pl":"w tym tygodniu","en":"this week"
"pl":"w tym miesiącu","en":"this month"
"pl":"Tom i Bob czytają książki w tym tygodniu.","en":"Tom and Bob are reading books this week."
"pl":"w następnym tygodniu","en":"next week"
"pl":"w następnym miesiącu","en":"next month"
"pl":"w następnym roku","en":"next year"
"pl":"12 lipca","en":"on 12th July"
"pl":"w poniedziałek","en":"on Monday"
"pl":"w kwietniu","en":"in April"
"pl":"w 2025 r.","en":"in 2025"
"pl":"Bob rozpoczyna nową pracę w poniedziałek.","en":"Bob is starting a new job on Monday."
"pl":"nigdy","en":"never"
"pl":"prawie nigdy","en":"hardly ever"
"pl":"czasami","en":"sometimes"
"pl":"zazwyczaj","en":"usually"
"pl":"zawsze","en":"always"
"pl":"codziennie","en":"every day"
"pl":"co tydzień","en":"every week"
"pl":"każdego miesiąca","en":"every month"
"pl":"raz w tygodniu","en":"once a week"
"pl":"dwa razy w tygodniu","en":"twice a week"
"pl":"trzy razy w tygodniu","en":"three times a week"
"pl":"Gram w piłkę nożną co miesiąc.","en":"I play football every month."
"pl":"Bob codziennie gra w piłkę nożną.","en":"Bob plays football every day."
"pl":"Sue czasami pływa w morzu.","en":"Sue sometimes swims in the sea."
"pl":"Tina nigdy nie gra w tenisa.","en":"Tina never plays tennis."
"pl":"Bob i Tom nie czytają nudnych książek.","en":"Bob and Tom don't read boring books."
"pl":"Czy Tom gra w piłkę nożną dwa razy w tygodniu?","en":"Does Tom play football twice a week?"
"pl":"Co teraz robisz?","en":"What are you doing now?"
"pl":"Co zwykle robisz w poniedziałki?","en":"What do you usually do on Mondays?"
"pl":"stać się znanym","en":"become famous"
"pl":"zakochać się","en":"fall in love"
