"pl":"plastyka, sztuka","en":"art"
"pl":"biologia","en":"biology"
"pl":"informatyka","en":"computing"
"pl":"język obcy","en":"foreign language"
"pl":"geografia","en":"geography"
"pl":"historia","en":"history"
"pl":"matematyka","en":"maths"
"pl":"wychowanie fizyczne","en":"PE"
"pl":"nauki ścisłe (przyroda, chemia, fizyka)","en":"science"
"pl":"technika","en":"technology"
"pl":"sala komputerowa","en":"computer room"
"pl":"sala gimnastyczna, siłownia","en":"gym"
"pl":"laboratorium","en":"laboratory (lab)"
"pl":"biblioteka","en":"library"
"pl":"hol szkoły","en":"main hall"
"pl":"boiska","en":"playing fields"
"pl":"stołówka","en":"canteen"
"pl":"klasa, sala lekcyjna","en":"classroom"
"pl":"szatnia","en":"cloakroom"
"pl":"korytarz","en":"corridor"
"pl":"dziedziniec (przed szkołą), plac zabaw","en":"playground"
"pl":"sekretariat szkoły","en":"school office"
"pl":"toaleta","en":"toilet"
"pl":"sklepik szkolny","en":"tuck shop"
"pl":"Pośpiesz się! Jesteśmy spóźnieni!","en":"Hurry up! We're late!"
"pl":"Zaczekaj na mnie!","en":"Wait for me!"
"pl":"Pewnie!/Oczywiście!","en":"You bet!"
"pl":"Musimy utrzymać porządek","en":"We must keep it tidy."
"pl":"Musimy wrzucać śmieci do kosza.","en":"We must put litter in the bin."
"pl":"Musimy jutro przynieść ubrania sportowe.","en":"We must bring sports clothes tomorrow."
"pl":"Nie wolno jeść w klasie.","en":"We mustn't eat in our classroom."
"pl":"Nie wolno się spóźniać.","en":"We mustn't be late."
"pl":"Nie wolno używać telefonów w klasie.","en":"We mustn't use our phones in class."
"pl":"miska","en":"bowl"
"pl":"puszka (np. na napój)","en":"can"
"pl":"karton","en":"carton"
"pl":"patelnia","en":"frying pan"
"pl":"słoik","en":"jar"
"pl":"kubek","en":"mug"
"pl":"talerz","en":"plate"
"pl":"puszka (np. na konserwę)","en":"tin"
"pl":"dodawać","en":"add"
"pl":"gotować","en":"boil"
"pl":"siekać","en":"chop"
"pl":"smażyć","en":"fry"
"pl":"mieszać","en":"mix"
"pl":"kroić","en":"slice"
"pl":"gotować na parze","en":"steam"
"pl":"węglowodany","en":"carbs"
"pl":"nabiał","en":"dairy"
"pl":"owoc lub warzywo pięć razy dziennie","en":"five-a-day"
"pl":"olej i tłuszcz","en":"oil and fat"
"pl":"białko","en":"protein"
"pl":"ciecierzyca","en":"chickpeas"
"pl":"suszone owoce","en":"dried fruit"
"pl":"śmieciowe jedzenie","en":"fast food"
"pl":"tłuste jedzenie","en":"fatty food"
"pl":"napój gazowany","en":"fizzy drink"
"pl":"zioło","en":"herb"
"pl":"humus","en":"hummus"
"pl":"cukierek, słodycz","en":"sweet"
"pl":"tofu","en":"tofu"
"pl":"Brzmi dobrze!","en":"Sounds good!"
"pl":"Ostrożnie!","en":"Careful!"
"pl":"Genialny pomysł!","en":"Brilliant idea!"
"pl":"Czy możesz (przynieść ciasto)?","en":"Can you (bring a cake)?"
"pl":"Tak, oczywiście.","en":"Yes, sure."
"pl":"Czy mógłbyś/mogłabyś (kupić dużą kartę urodzinową)?","en":"Could you (buy a big birthday card)?"
